control_variant,control_role,control_columns,outcome,horizon,beta,se,lower95,upper95,n,spec_name,shock_column,shock_scale,response_type
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_identity_gap_qoq,8,-1.728467544265366,4.114124897945523,-9.79215234423859,6.335217255707858,83,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,strict_loan_source_qoq,0,-14.361312827632876,5.346581169933267,-24.84061192070208,-3.8820137345636727,119,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,strict_loan_source_qoq,1,-16.059645508791995,6.610266419263587,-29.015767690548625,-3.103523327035365,118,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,strict_loan_source_qoq,2,-28.061312668871658,8.376515106535408,-44.47928227768105,-11.64334306006226,117,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,strict_loan_source_qoq,3,-15.436018730398068,13.967395033019509,-42.81211299511631,11.940075534320169,116,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,strict_loan_source_qoq,4,-23.7266209046791,18.357054361780644,-59.70644745376916,12.253205644410965,115,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,strict_loan_source_qoq,5,-18.10633579096514,25.10022450385742,-67.30277581852567,31.0901042365954,114,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,strict_loan_source_qoq,6,-21.620042010328014,28.812923060183998,-78.09337120828866,34.853287187632624,113,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,strict_loan_source_qoq,7,-6.782359421050984,31.984165663949764,-69.47132412239252,55.90660528029055,112,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,strict_loan_source_qoq,8,-17.516864309908087,33.777073927193335,-83.71992920720702,48.68620058739084,111,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,strict_loan_mortgages_qoq,0,-3.978042275219278,2.059968682069893,-8.015580892076269,0.059496341637712113,119,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,strict_loan_mortgages_qoq,1,-2.8935524836688646,3.477198064430388,-9.708860689952425,3.921755722614696,118,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,strict_loan_mortgages_qoq,2,-4.252697957577334,4.927504407646077,-13.910606596563644,5.405210681408976,117,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,strict_loan_mortgages_qoq,3,-1.9161427420397015,6.968328502547211,-15.574066607032234,11.741781122952831,116,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,strict_loan_mortgages_qoq,4,-2.7723501785221565,9.742659941859554,-21.867963664566883,16.32326330752257,115,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,strict_loan_mortgages_qoq,5,1.3751145428450222,13.1080084548082,-24.31658202857905,27.066811114269093,114,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,strict_loan_mortgages_qoq,6,4.5849297882173765,15.869023186745315,-26.51835565780344,35.68821523423819,113,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,strict_loan_mortgages_qoq,7,8.079094322923499,17.576230730196055,-26.37031790826077,42.528506554107764,112,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,strict_loan_mortgages_qoq,8,6.643857080006978,19.70033795679215,-31.968805315305634,45.25651947531959,111,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,strict_loan_consumer_credit_qoq,0,-4.727049310636028,2.0861980177621144,-8.815997425449773,-0.6381011958222835,119,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
