treatment_variant,treatment_role,treatment_family,outcome,horizon,beta,se,lower95,upper95,n,spec_name,shock_column,shock_scale,response_type
baseline,core,headline,interbank_transactions_foreign_banks_liability_qoq,8,8.268408432167842,5.7009018786001855,-2.9053592498885212,19.442176114224203,111,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,interbank_transactions_foreign_banks_asset_qoq,0,4.474741240890895,2.2126202309705487,0.1380055881886193,8.81147689359317,119,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,interbank_transactions_foreign_banks_asset_qoq,1,4.536938081646156,2.041771270879729,0.5350663907218864,8.538809772570424,118,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,interbank_transactions_foreign_banks_asset_qoq,2,4.094064871770602,2.7059007524235605,-1.2095006029795767,9.397630346520781,117,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,interbank_transactions_foreign_banks_asset_qoq,3,6.406851517917331,2.7683594849446207,0.9808669274258746,11.832836108408788,116,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,interbank_transactions_foreign_banks_asset_qoq,4,12.403162211014678,3.0091958874370586,6.505138271638043,18.301186150391313,115,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,interbank_transactions_foreign_banks_asset_qoq,5,12.889343068193366,3.7276643495598023,5.583120943056153,20.19556519333058,114,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,interbank_transactions_foreign_banks_asset_qoq,6,10.70200296086668,4.292972345364208,2.2877771639528337,19.116228757780526,113,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,interbank_transactions_foreign_banks_asset_qoq,7,9.47757286649508,4.272257262027643,1.1039486329209005,17.85119710006926,112,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,interbank_transactions_foreign_banks_asset_qoq,8,13.147003782834792,3.9827134880248654,5.340885346306056,20.95312221936353,111,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,deposits_at_foreign_banks_asset_qoq,0,0.27096571337420716,0.15981991384390387,-0.042281317759844395,0.5842127445082588,119,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,deposits_at_foreign_banks_asset_qoq,1,0.2564153731234077,0.22873185840536706,-0.19189906935111173,0.7047298155979271,118,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,deposits_at_foreign_banks_asset_qoq,2,0.2586288316148968,0.32539460134571924,-0.3791445870227129,0.8964022502525065,117,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,deposits_at_foreign_banks_asset_qoq,3,0.2718685501450248,0.37646271359581507,-0.4659983685027727,1.0097354687928224,116,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,deposits_at_foreign_banks_asset_qoq,4,0.3434871097320136,0.3626882669721739,-0.3673818935334472,1.0543561129974743,115,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,deposits_at_foreign_banks_asset_qoq,5,0.33658787314239036,0.3514734762700966,-0.35230014034699897,1.0254758866317797,114,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,deposits_at_foreign_banks_asset_qoq,6,0.286329411679892,0.3331011002449609,-0.36654874480023136,0.9392075681600154,113,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,deposits_at_foreign_banks_asset_qoq,7,0.3487994994982347,0.3085197007472713,-0.255899113966417,0.9534981129628863,112,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,deposits_at_foreign_banks_asset_qoq,8,0.4625709822651831,0.32544481241825945,-0.17530085007460539,1.1004428146049716,111,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,other_component_qoq,0,-56.69351156923962,12.497468749378598,-81.18855031802167,-32.19847282045757,119,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,other_component_qoq,1,-69.58175688695334,27.48903484177674,-123.46026517683575,-15.703248597070939,118,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,other_component_qoq,2,-95.65015466182561,33.750593848023136,-161.80131860395096,-29.49899071970026,117,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,other_component_qoq,3,-66.38340926913091,34.03944728715406,-133.10072595195288,0.33390741369105115,116,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,other_component_qoq,4,-69.35555273409035,31.42397030265686,-130.94653452729779,-7.764570940882912,115,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,other_component_qoq,5,-86.77833320831189,31.11269148183503,-147.75920851270854,-25.797457903915237,114,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,other_component_qoq,6,-125.18302116240604,35.52784359132715,-194.81759460140725,-55.54844772340482,113,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,other_component_qoq,7,-119.05922754582532,42.5742868681983,-202.504829807494,-35.613625284156655,112,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
